Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI
Jan 2015,145.1,146.2,145.5,146.8,145.5,136
Feb 2015,148.3,149.6,147.4,151.1,148.4,139.2
Mar 2015,150.8,152.6,150.9,153.8,147.8,142.2
Apr 2015,152.5,154.9,152.7,156.5,150.7,137.6
May 2015,152.3,154.7,152.7,156.2,151.3,136
Jun 2015,153.1,156,153.2,158.1,151.6,134.4
Jul 2015,153.4,156.2,154.1,157.7,152.3,135.5
Aug 2015,153.5,156.7,154.6,158.2,150.3,135.7
Sep 2015,152.2,155.1,153.2,156.5,151.9,132.9
Oct 2015,151.2,153.5,151.2,155.2,151.4,134.6
Nov 2015,151,152.9,150.1,155,151.7,136.4
Dec 2015,152.9,154.8,152.5,156.5,152.7,140.4
Jan 2016,154.2,157,153.5,159.6,152.7,137.7
Feb 2016,155.9,158.4,153.9,161.8,155.8,138.9
Mar 2016,158,161,157.3,163.7,156.6,140.6
Apr 2016,159.4,162,157.2,165.5,159,143.4
May 2016,162.2,165.6,160.6,169.2,160,143.5
Jun 2016,164.4,167,161.5,171.1,166.5,144.6
Jul 2016,165.8,168.9,162.4,173.7,166.5,144.5
Aug 2016,168.5,171.7,165.4,176.3,169.1,146.9
Sep 2016,170.6,174.1,167.6,178.7,172.7,145
Oct 2016,172.8,176.9,171.4,180.7,173.9,145.5
Nov 2016,173.9,177.6,173.1,180.8,178.3,145.3
Dec 2016,176.5,180.8,176.3,184,177.4,148.8
Jan 2017,178.4,182.6,177.3,186.4,180.7,150.2
Feb 2017,185,190,185.8,193,185.8,153.8
Mar 2017,192.1,197.8,192.3,201.6,191.7,157.2
Apr 2017,199.5,205.3,200.2,208.9,198.1,163.8
May 2017,204,209,206.6,210.6,204.4,172.6
Jun 2017,204.1,208.5,203.9,211.7,205,175.5
Jul 2017,202.3,206.6,202.8,209.2,200.1,177.3
Aug 2017,197.1,201.2,197.2,203.9,196.2,172.4
Sep 2017,196,199.4,198.3,200.2,197,173.9
Oct 2017,195.3,198.3,199.9,197.1,198.2,174.3
Nov 2017,197,199.5,200.4,199,199.5,178.8
Dec 2017,199.9,201.9,204,200.5,204.3,183
Jan 2018,198.5,201.1,202.6,200,199.2,181.7
Feb 2018,200.4,202.9,203.3,202.6,206.7,179
Mar 2018,204,206.8,206.2,207.2,210.3,180.5
Apr 2018,207.9,211.1,211.3,210.9,213.2,183.6
May 2018,209.6,212.7,213.4,212.3,211.3,189.3
Jun 2018,208.6,211.5,210.4,212.3,212,187.8
Jul 2018,209.2,211.9,210,213.3,210.6,191.9
Aug 2018,208.2,210.1,208.3,211.4,211.8,194
Sep 2018,210.9,213,210.2,214.9,213.4,196.1
Oct 2018,211.6,214.6,213.2,215.6,212.7,192.8
Nov 2018,212.5,215.8,216.1,215.5,214.4,191.8
Dec 2018,211,214,216.1,212.7,211.9,192.1
Jan 2019,210.9,214,215.4,213.2,211.6,192.1
Feb 2019,211.5,214.4,215.6,213.6,220.5,186.3
Mar 2019,215.9,220.4,222.3,219.3,218.1,188
Apr 2019,219.3,223.5,223.6,223.5,220.4,194.4
May 2019,220.4,224.5,222.9,225.7,220.1,197.6
Jun 2019,221.7,224.8,222.4,226.4,225.4,200.9
Jul 2019,221.1,224.4,222.2,225.8,223.5,200.6
Aug 2019,221.2,223.5,222.3,224.2,225.1,204.7
Sep 2019,221.8,224,222.2,225.2,226.5,205.6
Oct 2019,225.6,227,227.8,226.4,233.7,209.8
Nov 2019,226,227.1,228.2,226.5,233.2,213.3
Dec 2019,226.1,228.1,230.8,226.4,231.4,209
Jan 2020,228.4,230.5,233.2,228.8,231.1,212.7
Feb 2020,233.9,236.2,241,233.3,239,214.6
Mar 2020,239,240.9,247.6,236.9,243.1,222.9
Apr 2020,239.7,241.5,246.5,238.5,246.7,222.1
May 2020,238.2,238.7,240.7,237.5,246,227.3
Jun 2020,240.1,241.4,242.1,241.1,246.9,225.7
Jul 2020,246.2,247.8,252.6,245.6,249.6,232.9
Aug 2020,252.9,254.9,258.6,253.3,257.9,235.2
Sep 2020,257.4,260.9,267.2,258.1,257.5,235.8
Oct 2020,262.8,265.6,269.1,264,268.6,238.4
Nov 2020,264.8,267.9,268.6,267.5,272.4,236.1
Dec 2020,270.5,272.5,276.6,270.7,280.6,244.7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,