Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI
Jan 2015,161.5,166.8,169.3,166.1,168.8,140.2
Feb 2015,169.4,174,178.2,172.7,174.7,152.1
Mar 2015,172.2,179.8,184.6,178.4,168.8,152.9
Apr 2015,176.8,184.5,189.2,183,178.1,153.2
May 2015,176.2,185,189,183.8,175.4,150.5
Jun 2015,178.2,184.3,188.4,183,180.6,158.2
Jul 2015,177.1,182.4,183.5,182,176.5,161.8
Aug 2015,177.1,183.9,183.7,184,179.2,155.1
Sep 2015,178.8,185.8,184.1,186.3,181.5,155.7
Oct 2015,177.8,184.7,189.9,183.1,181.2,154.7
Nov 2015,180.1,185.8,186.5,185.6,183.2,160.5
Dec 2015,179.8,184.7,189,183.4,180,164.9
Jan 2016,184.7,193.5,186.1,195.7,189.2,154.5
Feb 2016,185.3,192.4,196.1,191.2,182.6,166.3
Mar 2016,190.8,197.9,199.6,197.3,195.5,166.2
Apr 2016,193.4,202.1,203.2,201.7,195.6,165.4
May 2016,199.2,208.9,206.5,209.7,198.2,171.1
Jun 2016,201.3,210.4,212.1,209.9,204.6,171.2
Jul 2016,203.9,214.5,216.4,213.9,208,169.1
Aug 2016,208.2,218.2,220,217.7,209.4,176.9
Sep 2016,209.4,217.5,220.3,216.6,210.5,184.4
Oct 2016,214.6,221.3,221.2,221.3,222.1,188.6
Nov 2016,216,225.6,223.7,226.1,220.3,184.4
Dec 2016,218.1,224.7,228.1,223.6,234.3,186.3
Jan 2017,227.5,241.2,234.8,243.2,220.8,192.3
Feb 2017,244,253.6,256.8,252.6,263.7,201.2
Mar 2017,257.8,262.9,260.6,263.6,276.9,229
Apr 2017,255.8,261.3,262.9,260.8,267.9,231.1
May 2017,245.8,251.2,258,249,249.5,227.7
Jun 2017,238.8,241.8,249.7,239.3,251.3,221.5
Jul 2017,233.2,235.6,241.1,233.8,234.9,225.3
Aug 2017,229.1,233.5,234.4,233.2,236.6,211.9
Sep 2017,228.9,229.5,228.5,229.8,235.8,222.4
Oct 2017,228.1,230.9,230.5,231,224.4,222.9
Nov 2017,229.8,227.8,231.9,226.5,243,226
Dec 2017,226.5,224.6,233.5,221.9,241,221.8
Jan 2018,232.9,231,230.5,231.1,239.5,233.8
Feb 2018,231.8,227.4,227.6,227.3,246.1,233.9
Mar 2018,235.7,232.4,238.8,230.5,258.1,229.3
Apr 2018,232.5,233.2,238.3,231.6,239.3,226.4
May 2018,244.7,236.3,238.9,235.5,268,251.2
Jun 2018,246.7,237.5,238.5,237.1,268.9,255.6
Jul 2018,239.9,233.9,231.1,234.8,261.6,241.3
Aug 2018,238.9,233.9,235.1,233.6,247.5,245.9
Sep 2018,238.4,233.2,226.9,235.2,245.3,247.3
Oct 2018,240.8,235,235.6,234.8,254.5,246.5
Nov 2018,242.3,231.5,228.2,232.5,258.5,259.1
Dec 2018,246.2,235.6,235.1,235.8,269.1,258.1
Jan 2019,240.2,236.6,234.9,237.2,243.1,247
Feb 2019,249.6,238,233.9,239.4,264.8,268.3
Mar 2019,250.2,239.2,237.7,239.7,263.3,269
Apr 2019,252.4,245.5,240,247.3,253.2,268.5
May 2019,258.7,246.3,244.9,246.8,273.8,278.1
Jun 2019,254.2,248,246.7,248.4,259.9,265
Jul 2019,257.6,248.8,241.9,251.1,263.9,273.7
Aug 2019,261,247.1,245.1,247.7,272.2,285.2
Sep 2019,261,247.8,248.1,247.7,265.4,287.4
Oct 2019,261,247.7,246,248.3,279,279.6
Nov 2019,262,248.4,245.4,249.5,275.4,284.2
Dec 2019,261.8,250.5,251.6,250.2,256.4,290.1
Jan 2020,274.1,255.5,256.4,255.1,273.1,316.2
Feb 2020,282.1,270.6,273.7,269.6,302.7,296.5
Mar 2020,285.9,270,274.2,268.6,292.3,318.7
Apr 2020,273.8,264.6,283.3,258.4,292.3,283.8
May 2020,277.4,264.1,277.5,259.6,295.6,297.1
Jun 2020,279.8,268,276.7,265.2,302,293.3
Jul 2020,286.1,270.4,271.1,270.2,313.3,306.1
Aug 2020,285.6,274.6,270.1,275.5,316.1,292.6
Sep 2020,291.4,280.9,274.9,282.1,317.5,300.4
Oct 2020,292.9,279,273,280.2,311.2,316.3
Nov 2020,296.9,282.9,279.8,283.5,325,314.3
Dec 2020,296.4,282.3,283.7,282.1,327.6,311.8
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,